0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,label
0.47406,0.47719,0.47474,0.47357,0.47416,0.47455,0.47523,0.47504,0.47543,0.47455,0.47484,0.47181,0.47357,0.47259,0.47279,0.47240,0.47367,0.47455,0.47162,0.47240,0.47298,0.47435,0.47171,0.47445,0.47289,0.47191,0.47328,0.47484,0.47347,0.47396,0.47240,0.47377,0.47230,0.47171,0.47533,0.47230,0.47220,0.47201,0.47220,0.47386,0.47259,0.47298,0.47455,0.47445,0.47123,0.47601,0.47416,0.47240,0.47240,0.47396,0.47269,0.47386,0.47328,0.47240,0.47338,0.47670,0.47328,0.47523,0.47357,0.47289,0.47621,0.47386,0.47680,0.47396,0.47582,0.47523,0.47201,0.47318,0.47621,0.47328,0.47377,0.47406,0.47592,0.47689,0.47338,0.47816,0.47543,0.47474,0.47318,0.47445,0.47211,0.47298,0.47103,0.47201,0.47298,0.47406,0.47289,0.47533,0.47533,0.47377,0.47494,0.47308,0.47465,0.47543,0.47523,0.47562,0.47396,0.47562,0.47592,0.47533,0
0.47572,0.47807,0.47963,0.47767,0.47738,0.47640,0.47699,0.47709,0.47416,0.47533,0.47650,0.47572,0.47611,0.47484,0.47689,0.47728,0.47719,0.47709,0.47513,0.47680,0.47416,0.47328,0.47523,0.47386,0.47553,0.47543,0.47601,0.47465,0.47885,0.47445,0.47513,0.47709,0.47572,0.47650,0.47543,0.47699,0.47650,0.47640,0.47621,0.47621,0.47611,0.47660,0.47650,0.47797,0.47474,0.47738,0.47680,0.47015,0.46644,0.46439,0.45960,0.45931,0.39453,0.39033,0.42609,0.40860,0.38437,0.43175,0.45559,0.43556,0.45354,0.47689,0.47670,0.47416,0.47533,0.47465,0.47465,0.47807,0.47680,0.47982,0.47621,0.47621,0.47533,0.48012,0.47885,0.48119,0.47904,0.48617,0.48295,0.48842,0.48911,0.48979,0.48344,0.86546,0.99736,0.99678,0.99805,0.99316,0.99766,0.99726,0.99629,0.99678,0.99785,0.99775,0.99521,0.99707,0.99326,0.99756,0.94822,0.99424,1
0.13239,0.13307,0.12946,0.12995,0.13512,0.13249,0.13512,0.13454,0.13415,0.13210,0.13200,0.13034,0.13385,0.13552,0.13786,0.13190,0.13630,0.13239,0.13180,0.12887,0.13024,0.13034,0.13307,0.12995,0.13043,0.13180,0.12936,0.13131,0.13366,0.13190,0.13473,0.13219,0.13366,0.13014,0.13258,0.13083,0.13190,0.13425,0.13112,0.13122,0.13053,0.13210,0.13395,0.20684,0.18114,0.43156,0.53620,0.99658,0.99844,0.99775,0.99678,0.99619,0.99599,0.99648,0.99726,0.99638,0.99785,0.99648,0.99502,0.99736,0.99599,0.99746,0.99687,0.99707,0.99717,0.99726,0.99795,0.99766,0.99853,0.99844,0.99775,0.99619,0.99766,0.99717,0.99775,0.99775,0.99844,0.99736,0.99687,0.99580,0.93376,0.91822,0.92672,0.55232,0.37606,0.37469,0.39980,0.39766,0.17557,0.17831,0.11666,0.20166,0.16668,0.17851,0.17860,0.19130,0.19150,0.20186,0.19697,0.19697,1
0.19844,0.19687,0.19922,0.19668,0.20176,0.19824,0.19980,0.19990,0.19766,0.19609,0.19726,0.19365,0.19384,0.19570,0.19443,0.19365,0.19492,0.19580,0.19648,0.19482,0.19150,0.19463,0.19384,0.19297,0.19257,0.19306,0.19297,0.19218,0.18857,0.18701,0.19248,0.19013,0.19355,0.19384,0.17606,0.21251,0.19052,0.28842,0.32340,0.36922,0.41417,0.42794,0.39502,0.38544,0.40557,0.99599,0.99502,0.99795,0.99707,0.99638,0.99648,0.99756,0.99678,0.99736,0.99717,0.99736,0.99521,0.99648,0.99795,0.99619,0.99834,0.99091,0.19482,0.19951,0.34470,0.36698,0.40557,0.34323,0.34656,0.37333,0.37743,0.38095,0.40498,0.39453,0.39570,0.40293,0.39463,0.37968,0.39619,0.39990,0.41436,0.40713,0.41006,0.40733,0.40772,0.40762,0.40830,0.41563,0.41827,0.41485,0.41612,0.41534,0.41612,0.41583,0.41524,0.41553,0.41749,0.41583,0.41612,0.41163,1
0.41026,0.41085,0.40801,0.41397,0.41133,0.40557,0.40528,0.40176,0.39902,0.40215,0.40420,0.40156,0.40000,0.39873,0.39873,0.40049,0.40068,0.40215,0.40244,0.40264,0.40264,0.40049,0.40391,0.40244,0.40186,0.40293,0.39951,0.40313,0.40186,0.40147,0.40117,0.40313,0.40371,0.40645,0.40703,0.40977,0.40723,0.40684,0.41329,0.40860,0.40801,0.40928,0.40879,0.40860,0.41065,0.40997,0.40909,0.38036,0.99687,0.99844,0.99648,0.99726,0.99844,0.99443,0.99638,0.99824,0.99863,0.99805,0.99619,0.96805,0.98984,0.99384,0.98544,0.99814,0.74157,0.67904,0.41632,0.34646,0.25315,0.40938,0.43078,0.53913,0.40195,0.40000,0.46097,0.34021,0.34382,0.32711,0.33473,0.34343,0.35340,0.34333,0.35740,0.34968,0.35525,0.36111,0.36385,0.36023,0.36180,0.36170,0.36414,0.36463,0.36580,0.36277,0.36375,0.36248,0.35936,0.36209,0.36209,0.36277,1
0.36922,0.37147,0.37010,0.37040,0.37049,0.37206,0.37010,0.37020,0.37128,0.37010,0.37333,0.36766,0.36942,0.37157,0.36913,0.36756,0.36854,0.37157,0.37215,0.37069,0.37274,0.37255,0.37030,0.37020,0.37030,0.37167,0.37167,0.37020,0.37147,0.37108,0.37020,0.37215,0.36903,0.36952,0.37010,0.36922,0.37196,0.37059,0.37186,0.37147,0.37088,0.37245,0.37030,0.37108,0.37235,0.37000,0.36971,0.36834,0.36268,0.36825,0.35867,0.38710,0.43087,0.68070,0.99472,0.99707,0.99697,0.99648,0.99756,0.99687,0.99648,0.99590,0.99033,0.99668,0.99746,0.99805,0.99736,0.99785,0.99570,0.99541,0.99883,0.99629,0.99472,0.99766,0.99775,0.99531,0.99648,0.99834,0.88354,0.85979,0.85794,0.84670,0.82325,0.79228,0.77401,0.74998,0.68735,0.56834,0.47211,0.41172,0.28100,0.22638,0.42443,0.45120,0.41641,0.43107,0.37870,0.20948,0.22277,0.22804,1
0.26116,0.26155,0.26048,0.26243,0.26312,0.26253,0.26273,0.26253,0.26058,0.26702,0.26644,0.26742,0.26634,0.26976,0.26067,0.27132,0.27484,0.23840,0.24543,0.24582,0.22599,0.23840,0.25139,0.24612,0.21944,0.31197,0.66009,0.56229,0.79638,0.85403,0.80440,0.80850,0.76356,0.54509,0.57743,0.58720,0.60752,0.53727,0.51754,0.50318,0.49145,0.50239,0.49184,0.51734,0.54333,0.49155,0.41866,0.41573,0.41299,0.40684,0.47894,0.48373,0.46136,0.48266,0.71285,0.88764,0.80909,0.84905,0.85813,0.85022,0.85071,0.85315,0.86448,0.99121,0.99638,0.99697,0.99697,0.99687,0.97723,0.99687,0.99619,0.80830,0.48403,0.40733,0.42960,0.46888,0.45139,0.48745,0.49995,0.45501,0.43468,0.28149,0.21045,0.36707,0.45667,0.41094,0.42452,0.42179,0.43713,0.42941,0.45725,0.74411,0.74489,0.64641,0.62042,0.50747,0.33698,0.44270,0.49673,0.46869,3
0.63254,0.99658,0.99541,0.79394,0.70982,0.79199,0.79433,0.93552,0.99805,0.99932,0.99531,0.99638,0.99746,0.99521,0.99707,0.99648,0.99551,0.99756,0.90562,0.43381,0.43117,0.82726,0.43977,0.58026,0.99824,0.47318,0.99717,0.75027,0.99697,0.98906,0.49682,0.49272,0.47543,0.46204,0.53894,0.53972,0.52477,0.42140,0.44465,0.47631,0.57714,0.54489,0.54617,0.55584,0.50767,0.50513,0.47719,0.47973,0.99766,0.94529,0.89477,0.71021,0.44582,0.99629,0.99746,0.99629,0.99658,0.94099,0.99551,0.99551,0.99678,0.99795,0.99736,0.99482,0.99775,0.99678,0.90845,0.99834,0.99629,0.99726,0.94851,0.99746,0.67025,0.65999,0.99638,0.99805,0.99590,0.99805,0.99726,0.99746,0.99785,0.99873,0.97645,0.99570,0.99424,0.85208,0.99599,0.99746,0.75369,0.74411,0.76180,0.71920,0.49907,0.99590,0.98046,0.59248,0.60264,0.99580,0.99756,0.99726,3
0.51959,0.46908,0.44797,0.52799,0.46155,0.46859,0.52135,0.54372,0.53053,0.52135,0.44309,0.43771,0.52926,0.53112,0.48705,0.44143,0.42394,0.43947,0.52985,0.52985,0.53346,0.53620,0.53278,0.50542,0.52526,0.53395,0.53395,0.53454,0.53591,0.52604,0.51363,0.52760,0.47347,0.54294,0.46448,0.54255,0.48715,0.42042,0.36512,0.39834,0.49526,0.50923,0.93405,0.99717,0.99775,0.98398,0.99590,0.99853,0.99834,0.99570,0.99355,0.99648,0.98867,0.99629,0.99316,0.99824,0.99580,0.99746,0.99619,0.99560,0.99599,0.99511,0.72916,0.67631,0.59345,0.83341,0.99590,0.99775,0.99805,0.91695,0.89692,0.99795,0.99599,0.99805,0.99648,0.99834,0.99570,0.99638,0.99678,0.99599,0.86380,0.47181,0.92633,0.99619,0.98632,0.99590,0.99599,0.99834,0.99609,0.98046,0.98574,0.89380,0.99619,0.99873,0.76033,0.98583,0.99814,0.99678,0.99814,0.99736,3
0.38280,0.38310,0.38241,0.38378,0.38251,0.38359,0.38124,0.33170,0.37958,0.39453,0.36659,0.38036,0.38232,0.36737,0.37264,0.36776,0.36786,0.37557,0.39922,0.39297,0.39033,0.38622,0.39404,0.40459,0.43381,0.43781,0.40967,0.40479,0.40909,0.41016,0.41280,0.42306,0.40391,0.40000,0.39853,0.48109,0.40664,0.38271,0.38251,0.39306,0.39033,0.40186,0.40234,0.46478,0.38769,0.43039,0.43205,0.46751,0.43127,0.43713,0.44406,0.47631,0.48285,0.47054,0.62228,0.99658,0.96023,0.99795,0.99717,0.93825,0.98192,0.78525,0.93092,0.94402,0.99472,0.99560,0.99365,0.90366,0.60625,0.47269,0.48627,0.47513,0.54792,0.94665,0.41993,0.99619,0.99511,0.99795,0.99502,0.99668,0.99814,0.99707,0.99873,0.99726,0.99560,0.99707,0.99853,0.99609,0.99697,0.95926,0.43400,0.42980,0.42228,0.40498,0.40459,0.39414,0.43087,0.42101,0.39482,0.39736,3
